date,workout_type,duration(HH:mm:ss),distance(km),steps,elevation(m),weight(lbs),avg_heart_rate,max_heart_rate,notes
27-APR-2023,walk (treadmill),01:00:01,5.51,6503,107,0,156,178,""
24-APR-2023,walk (treadmill),02:00:00,10.79,12852,227,0,165,189,""
22-APR-2023,walk (treadmill),01:17:38,6.70,8120,245,0,165,182,""
20-APR-2023,walk (treadmill),01:09:59,6.01,7500,233,0,168,186,"Missed recording exact starting steps so step count is probably +/- 200."
19-APR-2023,walk (treadmill),01:16:03,6.52,7883,225,0,163,187,""
18-APR-2023,walk (treadmill),00:12:01,1.03,1264,41,0,,,"Watch was acting up, didn't track heartrate for most of the workout"
17-APR-2023,walk (treadmill),00:35:02,3.00,3646,129,0,163,178,""
11-APR-2023,walk (treadmill),01:08:42,5.95,7202,217,0,160,181,""
09-APR-2023,walk (treadmill),01:20:28,7.00,8501,208,0,161,181,"comfortable level of effort :)"
08-APR-2023,walk (treadmill),01:10:12,6.12,7387,201,0,166,187,""
05-APR-2023,walk (treadmill),01:00:00,5.57,6470,134,0,161,179,""
03-APR-2023,walk (treadmill),01:30:00,7.82,9461,312,0,167,188,""
01-APR-2023,walk (treadmill),01:40:15,8.83,10555,263,0,167,191,""
30-MAR-2023,walk (treadmill),01:13:49,6.74,7925,100,0,160,183,""
28-MAR-2023,walk (treadmill),01:27:00,7.55,9158,238,0,169,189,""
25-MAR-2023,walk (treadmill),01:11:23,6.20,7438,178,0,167,191,""
23-MAR-2023,walk (treadmill),01:00:27,5.42,6422,182,0,166,188,""
21-MAR-2023,walk (treadmill),01:40:45,9.00,10722,210,0,163,184,"Drank an electrolyte drink mix throughout workout, worked wonders for sustained energy."
19-MAR-2023,walk (treadmill),01:15:30,6.69,8080,128,0,162,182,""
18-MAR-2023,walk (treadmill),01:10:00,6.19,7434,122,0,164,189,"Energy was really low for this entire workout"
15-MAR-2023,walk (treadmill),01:15:01,6.77,8087,104,0,164,192,""
14-MAR-2023,walk (treadmill),01:00:00,5.18,6274,189,0,171,191,""
11-MAR-2023,walk (treadmill),01:00:39,6.00,6787,0,0,161,187,""
09-MAR-2023,walk (treadmill),01:05:38,5.95,7024,145,0,176,196,"100m gain in first 20min"
